Title,Release Date,URL,Synopsis
STRONG MATCHES,,,
,,,
SOFT MATCHES,,,
Under the Tuscan Sun,2003,https://itunes.apple.com/us/movie/under-the-tuscan-sun/id187699271?uo=4,"From the studio that brought you Sweet Home Alabama comes the extraordinary romantic comedy starring Academy Award (R) nominee Diane Lane (2002 Best Actress, Unfaithful). Based on the #1 New York Times best-selling book, Under The Tuscan Sun follows San Francisco writer Frances Mayes (Lane) to Italy as a good friend offers her a special gift -- 10 days in Tuscany. Once there, she is captivated by its beauty and warmth, and impulsively buys an aging, but very charming, villa. Fully embracing new friends and local color, she finds herself immersed in a life-changing adventure filled with enough unexpected surprises, laughter, friendship, and romance to restore her new home -- and her belief in second chances."
Under the Skin (2014),2014,https://itunes.apple.com/us/movie/under-the-skin-2014/id858619452?uo=4,"A voluptuous woman of unknown origin (Scarlett Johansson) combs the highways in search of isolated men, luring a series of lost souls into an otherworldly lair. From visionary director Jonathan Glazer comes a masterpiece of science fiction."
Christmas Under Wraps,2014,https://itunes.apple.com/us/movie/christmas-under-wraps/id1154798815?uo=4,"When a driven doctor doesn't get the prestigious job she planned for, she unexpectedly finds herself moving to a remote Alaskan town. She soon warms to the friendly town & it's cast of characters but suspects it's hiding one big holiday secret."
Batman: Under the Red Hood,2014,https://itunes.apple.com/us/movie/batman-under-the-red-hood/id380839815?uo=4,"Batman faces his ultimate challenge as the mysterious Red Hood takes Gotham City by firestorm. One part vigilante, one part criminal kingpin, Red Hood begins cleaning up Gotham with the efficiency of Batman, but without following the same ethical code. And when the Joker falls in the balance, hard truths are revealed and old wounds are reopened."
Under Siege,1992,https://itunes.apple.com/us/movie/under-siege/id284767189?uo=4,"Action box office sensation Steven Seagal (""Above the Law,"" ""Hard to Kill"") is a martial arts expert/chef in this adventure-packed story of terrorism at sea. Earning over $83,000,000 at the box office, Siskel & Ebert give it ""two thumbs up!"" and say it's ""one of the best times you're going to have at a movie this year."" The New York Times calls it ""enjoyable... intoxicating... it keeps you watching!"" Also starring Oscar-winner Tommy Lee Jones (""Batman Forever,"" ""The Fugitive"") and Oscar-nominee Gary Busey (""The Firm,"" ""The Buddy Holly Story"")."
Quigley Down Under,1990,https://itunes.apple.com/us/movie/quigley-down-under/id281003169?uo=4,"Tom Selleck portrays Quigley, an American cowboy who is lured to the Austrailian outback (of the 1860's) by an offer from a powerful sheep rancher/land baron (Alan Rickman) to use his sharpshooter skills to shoot troublesome dingoes. What Quigley finds out when he arrives is that Rickman really wants to use his skills to help wipe out the native Aborigine population as part of the country's ""pacification by force."" A man of moral integrity, Quigley strongly declines this murderous duty and throws his new boss through the window, so... now it's war between them. Also confusing the situation (as well as enlivening it) is a somewhat deranged ""trallop"" (Laura San Giacomo) who erroneously thinks Quigley is her husband."
The Rescuers Down Under,1990,https://itunes.apple.com/us/movie/the-rescuers-down-under/id281766114?uo=4,"Hold on tight for a thrilling, fast-paced adventure unlike any other with ""The Rescuers Down Under""! The world's bravest mice, Bernard and Miss Bianca, answer a call for help from deep in the heart of Australia's vast and unpredictable Outback! With a crazy crew of local critters, these top mouse agents rush to the aid of Cody, a young boy struggling to save a magnificent eagle from a ruthless poacher. But with restless natives and unexpected dangers popping up at every turn, who knows if they'll come to the rescue in time! Say ""G'Day"" to a classic Disney adventure full of unforgettable characters and incredible animation in this down-under delight!"
"20,000 Leagues Under the Sea",1954,https://itunes.apple.com/us/movie/20-000-leagues-under-the-sea/id296750750?uo=4,"Climb aboard the Nautilus ... and into a strange undersea world of spellbinding adventure! Kirk Douglas, Paul Lukas, and Peter Lorre star as shipwrecked survivors taken captive by the mysterious Captain Nemo, brilliantly portrayed by James Mason. Wavering between genius and madness, Nemo has launched a deadly crusade across the seven seas. But can the captive crew expose his evil plan before he destroys the world? Disney's brilliant Academy Award-winning (1955, Best Art Direction and Best Special Effects) adaptation of Jules Verne's gripping tale makes ""20,000 Leagues Under the Sea"" a truly mesmerizing masterpiece!"
Under the Same Moon (La Misma Luna),2008,https://itunes.apple.com/us/movie/under-the-same-moon-la-misma-luna/id281975237?uo=4,"Even across thousands of miles, the special bond between a mother and son can never be broken. It gives hope to Carlitos, a scrappy nine-year-old boy whose mother, Rosario, has gone to America to build a better life for both of them. While Rosario struggles for a brighter future, fate forces Carlitos' hand and he embarks on an extraordinary journey to find her. Critics and audiences alike have praised this inspirational and heartwarming tale of a mother's devotion, a son's courage and a love that knows no borders."
Under Siege 2: Dark Territory,1995,https://itunes.apple.com/us/movie/under-siege-2-dark-territory/id279599152?uo=4,"International action star Steven Seagal returns as Casey Ryback--a daring and resourceful Navy SEAL-turned-cook--who unwittingly boards a train about to be hijacked as it careens through the breathtaking Rocky Mountains. Now, the soft-spoken chef with lethal fists is the only man who can stop a plot to destroy Washington, D.C."
Under the Silver Lake,2019,https://itunes.apple.com/us/movie/under-the-silver-lake/id1387706811?uo=4,"Sam (Andrew Garfield) is a disenchanted 33-year-old who discovers a mysterious woman, Sarah (Riley Keough), swimming in his apartment complex's pool. When she vanishes, Sam embarks on a spiraling investigation across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal, and conspiracy in the City of Angels. From writer-director David Robert Mitchell (It Follows) comes a sprawling and unexpected detective thriller about the Dream Factory and its denizens — dog killers, aspiring actors, memorabilia hoarders, nightlife personalities, wealthy socialites, and the shadowy billionaires floating above (and underneath) it all."
IMAX: Under the Sea,2009,https://itunes.apple.com/us/movie/imax-under-the-sea/id350616014?uo=4,"The same team who brought to the surface the highly successful Deep Sea 3D and Into the Deep will go back under the waves to explore the impact of global climate change on the ocean depths. Transporting viewers down into some of the most exotic and isolated undersea locations on earth, Under the Sea 3D also brings them face-to-face with some of the most mysterious and stunning creatures of the sea. With time-tested appeal, this ""deep sea-quel"" reps another exciting underwater adventure from the award-winning director and his accomplished filmmaking team."
Under the Cherry Moon,1986,https://itunes.apple.com/us/movie/under-the-cherry-moon/id272910781?uo=4,"Two brothers from Miami are in the Mediterranean are enjoying life by scamming money off of rich women. One day, they read about a young woman set to inherit $50 million from her father. At first, Tricky (Jerome Benton) has Christopher Tracy (Prince) talked into romancing her for her money, but as he gets to know her, Christopher falls in love with her. This love comes between the brothers, and Tricky tells all about the plan..."
Courage Under Fire,2000,https://itunes.apple.com/us/movie/courage-under-fire/id276618006?uo=4,"When Lt. Colonel Nathaniel Serling (Denzel Washington) is asked to review the posthumous candidacy of the first woman (Meg Ryan) to receive a medal of honor, he finds himself plunged into an apparent cover-up surrounding the actions that led to her death. As he struggles to uncover the truth, he also finds himself forced to confront his own tormenting demons. Matt Damon co-stars in this powerful and provocative drama."
